authority_name	first_name	last_name	county_name	fipsstreet	city	address_state	zip_code	po_street	po_city	po_state	po_zip_code	reg_authority_name	reg_first	reg_last	reg_street	reg_city	reg_state	reg_zip_code	reg_po_street	reg_po_city	reg_po_state	reg_po_zip_code	reg_phone	reg_fax	reg_email	reg_website	reg_hours	phone	fax	email	website	hours	voter_state	source	review
Supervisor of Elections	Mark	Negley	DeSoto	027	201 East Oak Street, Suite 104	Arcadia	FL	34265	P O Box 89	Arcadia	FL	34266						FL				FL							(863) 993-4871	(863) 993-4875	mnegley@votedesoto.com	http://www.votedesoto.com/		FL	State	
Supervisor of Elections	Starlet	Cannon	Dixie	029	214 NE 351 HWY, Suite B	Cross City	FL	32628	P O Box 2057	Cross City	FL	32628						FL				FL							(352) 498-1216	(352) 498-1218	dixiecountysoe@bellsouth.net	http://www.dixievotes.com/		FL	State	
Supervisor of Elections	Jerry	Holland	Duval	031	105 East Monroe Street	Jacksonville	FL	32202			FL							FL				FL							(904) 630-1414	(904) 630-2920	jholland@coj.net	http://www.duvalelections.com/		FL	State	
Supervisor of Elections	David	Stafford	Escambia	033	213 Palafox Place, 2nd Floor	Pensacola	FL	32591	P O Box 12601	Pensacola	FL	32502						FL				FL							(850) 595-3900	(850) 595-3914	soe@escambiavotes.com	http://www.escambiavotes.com/		FL	State	
Supervisor of Elections	Kimberle	Weeks	Flagler	035	1769 E. Moody Blvd., Building 2, Suite 101	Bunnell	FL	32110	P O Box 901	Bunnell	FL	32110						FL				FL							(386) 313-4170	(386) 313-4171	kweeks@flaglerelections.com	http://www.flaglerelections.com/		FL	State	
Supervisor of Elections	Ida	Elliott	Franklin	037	47 Avenue F	Apalachicola	FL	32320			FL							FL				FL							(850) 653-9520	(850) 653-9092	icelliott@votefranklin.com	http://www.votefranklin.com/		FL	State	
Supervisor of Elections	Shirley	Knight	Gadsden	039	16 South Madison Street	Quincy	FL	32351	P O Box 186	Quincy	FL	32353						FL				FL							(850) 627-9910	(850) 627-6144	info@gadsdensoe.com	http://www.gadsdensoe.com/		FL	State	
Supervisor of Elections	Connie	Sanchez	Gilchrist	041	112 South Main Street, Room 128	Trenton	FL	32693			FL							FL				FL							(352) 463-3194	(352) 463-3196	elections@gilchrist.fl.us	http://www.votegilchrist.com/		FL	State	
Supervisor of Elections	Holly	Whiddon	Glades	043	500 Avenue J	Moore Haven	FL	33471	P O Box 668	Moore Haven	FL	33471						FL				FL							(863) 946-6005	(863) 946-0313	hollywhiddon@embarqmail.com	http://www.voteglades.com/		FL	State	
Supervisor of Elections	John	Hanlon	Gulf	045	401 Long Ave.	Port St Joe	FL	32456			FL							FL				FL							(850) 229-6117	(850) 229-8975	gulfsoe@fairpoint.net	http://www.votegulf.com/		FL	State	
Supervisor of Elections	Laura	Dees	Hamilton	047	1153 US Hwy 41 NW Suite 1	Jasper	FL	32052			FL							FL				FL							(386) 792-1426	(386) 792-3205	elect@windstream.net	http://www.hamiltonvotes.com/		FL	State	
Supervisor of Elections	Jeffery	Ussery	Hardee	049	311 N. 6th Ave.	Wauchula	FL	33873			FL							FL				FL							(863) 773-6061	(863) 773-6813	hardeesoe@comcast.net	http://www.hardeecountyelections.com/		FL	State	
Supervisor of Elections	Brenda	Hoots	Hendry	051	25 East Hickpochee Avenue	LaBelle	FL	33975	P O Box 174	LaBelle	FL	33935						FL				FL							(863) 675-5230	(863) 675-7803	supervisor@hendryelections.org	http://www.hendryelections.org/		FL	State	
Supervisor of Elections	Shirley	Anderson	Hernando	053	20 North Main Street, Room 165	Brooksville	FL	34601			FL							FL				FL							(352) 754-4125	(352) 754-4425	shirleyanderson@hernandocounty.us	http://www.hernandovotes.com/		FL	State	
Supervisor of Elections	Penny	Ogg	Highlands	055	580 South Commerce Ave, Room A201	Sebring	FL	33871	P O Drawer 3448	Sebring	FL	33870						FL				FL							(863) 402-6655	(863) 402-6657	soe@hcbcc.org	http://www.votehighlands.com/		FL	State	
Supervisor of Elections	Craig	Latimer	Hillsborough	057	County Center, 601 E. Kennedy Blvd., 16th Floor	Tampa	FL	33602			FL							FL				FL							(813) 272-5850	(813) 272-7043	clatimer@hcsoe.org	http://www.votehillsborough.org/		FL	State	
Supervisor of Elections	Debbie	Morris	Holmes	059	201 North Oklahoma Street, Ste 102	Bonifay	FL	32425			FL							FL				FL							(850) 547-1107	(850) 547-4168	debbie@holmeselections.com	http://www.holmeselections.com/		FL	State	
Supervisor of Elections	Leslie	Swan	Indian River	061	4375 43rd Avenue	Vero Beach	FL	32967			FL							FL				FL							(772) 226-3440	(772) 770-5367	info@voteindianriver.com	http://www.voteindianriver.com/		FL	State	
Supervisor of Elections	Sylvia	Stephens	Jackson	063	2851 Jefferson Street	Marianna	FL	32447	P O Box 6046	Marianna	FL	32448						FL				FL							(850) 482-9652	(850) 482-9102	email@jacksoncountysoe.org	http://www.jacksoncountysoe.org/		FL	State	
Supervisor of Elections	Marty	Bishop	Jefferson	065	380 West Dogwood Street	Monticello	FL	32344			FL							FL				FL							(850) 997-3348	(850) 997-6958	soejeffersonco@aol.com	http://www.jeffersonvotes.com/		FL	State	
Supervisor of Elections	Travis	Hart	Lafayette	067	120 W. Main Street, RM 129	Mayo	FL	32066	P O Box 76	Mayo	FL	32066						FL				FL							(386) 294-1261	(386) 294-2164	lafayettesoe@gmail.com	http://www.lafayettevotes.net/		FL	State	
Supervisor of Elections	Emogene	Stegall	Lake	069	315 West Main Street	Tavares	FL	32778	P O Box 457	Tavares	FL	32778						FL				FL							(352) 343-9734	(352) 343-3605	elections@co.lake.fl.us	http://elections.co.lake.fl.us/		FL	State	
Supervisor of Elections	Sharon	Harrington	Lee	071	2480 Thompson Street	Fort Myers	FL	33902	P O Box 2545	Fort Myers	FL	33902						FL				FL							(239) 533-8683	(239) 533-6310	sharrington@leeelections.com	http://www.leeelections.com/		FL	State	
Supervisor of Elections	Ion	Sancho	Leon	073	315 South Calhoun Street, Suite 110	Tallahassee	FL	32314	P O Box 7357	Tallahassee	FL	32301						FL				FL							(850) 606-8683	(850) 606-8601	vote@leoncountyfl.gov	http://www.leonvotes.org/		FL	State	
Supervisor of Elections	Tammy	Jones	Levy	075	421 South Court Street	Bronson	FL	32621			FL							FL				FL							(352) 486-5163	(352) 486-5146	elections@votelevy.com	http://www.votelevy.com/		FL	State	
Supervisor of Elections	Gina	McDowell	Liberty	077	10818 NW SR 20 Courthouse	Bristol	FL	32321	P O Box 597	Bristol	FL	32321						FL				FL							(850) 643-5226	(850) 643-5648	vote@libertyelections.com	http://www.libertyelections.com/		FL	State	
Supervisor of Elections	Thomas "Tommy"	Hardee	Madison	079	239 SW Pinckney St.	Madison	FL	32340			FL							FL				FL							(850) 973-6507	(850) 973-3780	thardee@votemadison.com	http://www.votemadison.com/		FL	State	
Supervisor of Elections	Michael	Bennett	Manatee	081	600 301 Blvd. W., Suite 108	Bradenton	FL	34206	P O Box 1000	Bradenton	FL	34205						FL				FL							(941) 741-3823	(941) 741-3820	info@votemanatee.com	http://www.votemanatee.com/		FL	State	
Supervisor of Elections	Wesley	Wilcox	Marion	083	981 NE 16th Street	Ocala	FL	34478	P O Box 289	Ocala	FL	34478						FL				FL							(352) 620-3290	(352) 620-3286	elections@votemarion.com	http://www.votemarion.com/		FL	State	
Supervisor of Elections	Vicki	Davis	Martin	085	135 SE Martin Luther King, Jr. Blvd.	Stuart	FL	34995	P O Box 1257	Stuart	FL	34994						FL				FL							(772) 288-5637	(772) 288-5765	elections@martinvotes.com	http://www.martinvotes.com/		FL	State	
Supervisor of Elections	Penelope	Townsley	Miami-Dade	086	2700 NW 87th Ave	Miami	FL	33152	P O Box 521550	Miami	FL	33152						FL				FL							(305) 499-8683	(305) 468-2507	coop2@miamidade.gov	http://www.miamidade.gov/elections/		FL	State	
Supervisor of Elections	Joyce	Griffin	Monroe	087	530 Whitehead Street, Suite 101	Key West	FL	33040			FL							FL				FL							(305) 292-3416	(305) 292-3406	info@keys-elections.org	http://www.keys-elections.org/		FL	State	
Supervisor of Elections	Vicki	Cannon	Nassau	089	96135 Nassau Place, Suite 3	Yulee	FL	32097			FL							FL				FL							(904) 491-7500	(904) 432-1400	vcannon@votenassau.com	http://www.votenassau.com/		FL	State	
Supervisor of Elections	Paul	Lux	Okaloosa	091	302 Wilson St N., Suite 102	Crestview	FL	32536			FL							FL				FL							(850) 689-5600	(850) 651-7275	plux@co.okaloosa.fl.us	http://www.govote-okaloosa.com/		FL	State	
Supervisor of Elections	Diane	Hagan	Okeechobee	093	304 NW 2nd Street, Rm 144	Okeechobee	FL	34972			FL							FL				FL							(863) 763-4014	(863) 763-0152	soe@voteokeechobee.com	http://www.voteokeechobee.com/		FL	State	
Supervisor of Elections	Bill	Cowles	Orange	095	119 West Kaley Street	Orlando	FL	32856	P O Box 562001	Orlando	FL	32806						FL				FL							(407) 836-2070	(407) 254-6596	voter@ocfelections.com	http://www.ocfelections.com/		FL	State	
Supervisor of Elections	Mary Jane	Arrington	Osceola	097	2509 E Irlo Bronson Memorial Hwy	Kissimmee	FL	34744			FL							FL				FL							(407) 742-6000	(407) 742-6001	maryjane@voteosceola.com	http://www.voteosceola.com/		FL	State	
Supervisor of Elections	Susan	Bucher	Palm Beach	099	240 South Military Trail	West Palm Beach	FL	33416	P O Box 22309	West Palm Beach	FL	33415						FL				FL							(561) 656-6200	(561) 656-6287	susanbucher@pbcelections.org	http://www.pbcelections.org/		FL	State	
Supervisor of Elections	Brian	Corley	Pasco	101	14236 6th Street, Suite 200	Dade City	FL	33526	P O Box 300	Dade City	FL	33523						FL				FL							(352) 521-4302	(352) 521-4319	webcomment@pascovotes.com	http://www.pascovotes.com/		FL	State	
Supervisor of Elections	Deborah	Clark	Pinellas	103	13001 Starkey Road	Largo	FL	33773			FL							FL				FL							(727) 464-6108	(727) 464-6239	election@votepinellas.com	http://www.votepinellas.com/		FL	State	
Supervisor of Elections	Lori	Edwards	Polk	105	250 South Broadway Avenue	Bartow	FL	33831	P O Box 1460	Bartow	FL	33830						FL				FL							(863) 534-5888	(863) 534-5899	loriedwards@polkelections.com	http://www.polkelections.com/		FL	State	
Supervisor of Elections	Charles	Overturf	Putnam	107	2509 Crill Ave, Suite 900	Palatka	FL	32177			FL							FL				FL							(386) 329-0224	(386) 329-0455	electionsoffice@putnam-fl.com	http://www.putnam-fl.com/soe		FL	State	
Supervisor of Elections	Tappie	Villane	Santa Rosa	113	6495 Caroline Street, Suite F	Milton	FL	32570			FL							FL				FL							(850) 983-1900	(850) 626-7688	villane@santarosa.fl.gov	http://www.santarosa.fl.gov/elections/		FL	State	
Supervisor of Elections	Kathy	Dent	Sarasota	115	101 S. Washington Blvd.	Sarasota	FL	34230	P O Box 4194	Sarasota	FL	34236						FL				FL							(941) 861-8600	(941) 861-8609	kdent@sarasotavotes.com	http://www.sarasotavotes.com/		FL	State	
Supervisor of Elections	Michael	Ertel	Seminole	117	1500 E. Airport Blvd.	Sanford	FL	32773	P O Box 1479	Sanford	FL	32771						FL				FL							(407) 708-7700	(407) 708-7705	ertel@voteseminole.org	http://voteseminole.org/		FL	State	
Supervisor of Elections	Vicky	Oakes	St. Johns	109	4455 Avenue A, Suite 101	St. Augustine	FL	32095			FL							FL				FL							(904) 823-2238	(904) 823-2249	voakes@sjcvotes.us	http://www.sjcvotes.us/		FL	State	
Supervisor of Elections	Gertrude	Walker	St. Lucie	111	4132 Okeechobee Rd	Fort Pierce	FL	34947			FL							FL				FL							(772) 462-1500	(772) 462-1439	elections@slcelections.com	http://www.slcelections.com/		FL	State	
Supervisor of Elections	Karen	Krauss	Sumter	119	900 N. Main St.	Bushnell	FL	33513			FL							FL				FL							(352) 569-1540	(352) 569-1541	kkrauss@sumterelections.org	http://www.sumterelections.org/		FL	State	
Supervisor of Elections	Glenda	Williams	Suwannee	121	220 Pine Ave., S.W.	Live Oak	FL	32064			FL							FL				FL							(386) 362-2616	(386) 364-5185	gwilliams@suwanneevotes.com	http://www.suwanneevotes.com/		FL	State	
Supervisor of Elections	Dana	Southerland	Taylor	123	108 North Jefferson Street, Suite 202	Perry	FL	32348	P O Box 1060	Perry	FL	32347						FL				FL							(850) 838-3515	(850) 838-3516	taylorelections@gtcom.net	http://www.taylorelections.com/		FL	State	
Supervisor of Elections	Deborah	Osborne	Union	125	175 West Main Street	Lake Butler	FL	32054			FL							FL				FL							(386) 496-2236	(386) 496-1535	debbie.osborne@unionflvotes.com	http://www.unionflvotes.com/		FL	State	
Supervisor of Elections	Ann	McFall	Volusia	127	125 W. New York Ave.	DeLand	FL	32720			FL							FL				FL							(386) 736-5930	(386) 822-5715	amcfall@co.volusia.fl.us	http://www.volusia.org/elections		FL	State	
Supervisor of Elections	Henry	Wells	Wakulla	129	3115-B Crawfordville Hwy	Crawfordville	FL	32326	P O Box 305	Crawfordville	FL	32327						FL				FL							(850) 926-7575	(850) 926-8104	hwells@mywakulla.com	http://www.wakullaelection.com/		FL	State	
Supervisor of Elections	Bobby	Beasley	Walton	131	571 US Hwy 90 E	DeFuniak Springs	FL	32433			FL							FL				FL							(850) 892-8112	(850) 892-8113	bbeasley@co.walton.fl.us	http://www.votewalton.com/		FL	State	
Supervisor of Elections	Carol	Rudd	Washington	133	1331 South Blvd, Suite 900	Chipley	FL	32428			FL							FL				FL							(850) 638-6230	(850) 638-6238	crudd@wcsoe.org	http://www.wcsoe.org/		FL	State	
